noise_bps,challenger_median,candidate_median,difference_p05,difference_median,difference_p95,candidate_win_rate
1,524.6411425653998,563.1357689209427,-2.778314331995812,41.64433500850379,80.37363864342856,0.92
5,509.1668560623677,510.4628606289281,-57.30068071448173,8.342971836295249,68.03587267464837,0.58
10,447.9504347833373,463.13111060757797,-49.82032071378825,13.821512482835118,62.868765936038855,0.7
20,399.1151720783887,411.45360653276794,-66.31371366936811,6.0293103118075635,77.52968577583809,0.56
