signal,horizon,mean_ic,ic_std,positive_fraction,t_stat
momentum,1,-0.000990906873448854,0.17224712978515602,0.4919678714859438,-0.128379452275887
reversal,1,0.000990906873448854,0.17224712978515602,0.5080321285140562,0.128379452275887
momentum,2,-0.004387951632754986,0.17554227077571194,0.5030181086519114,-0.5572605691681191
reversal,2,0.004387951632754986,0.17554227077571194,0.4969818913480885,0.5572605691681191
momentum,3,-0.010217819516270852,0.17299509172041183,0.47580645161290325,-1.315422554541977
reversal,3,0.010217819516270852,0.17299509172041183,0.5241935483870968,1.315422554541977
momentum,5,-0.01372953531661377,0.17514510046748874,0.4716599190283401,-1.7422935152935521
reversal,5,0.01372953531661377,0.17514510046748874,0.52834008097166,1.7422935152935521
momentum,10,-0.013417595489056593,0.17526735364016427,0.4785276073619632,-1.6928874872543715
reversal,10,0.013417595489056593,0.17526735364016427,0.5214723926380368,1.6928874872543715
momentum,20,-0.022373773174241926,0.17839892382825664,0.47390396659707723,-2.744825611367048
reversal,20,0.022373773174241926,0.17839892382825664,0.5260960334029228,2.744825611367048
momentum,40,-0.010350460404079885,0.18411753634408506,0.4596949891067538,-1.2044003028597638
reversal,40,0.010350460404079885,0.18411753634408506,0.5403050108932462,1.2044003028597638
momentum,80,-0.017506425657643675,0.16058790565241612,0.4510739856801909,-2.2314731271871633
reversal,80,0.017506425657643675,0.16058790565241612,0.548926014319809,2.2314731271871633
momentum,120,-0.019838517060605944,0.14792035505534887,0.45118733509234826,-2.6109639150862187
reversal,120,0.019838517060605944,0.14792035505534887,0.5488126649076517,2.6109639150862187
