strategy,score,mean,std,sharpe,volume,early,fold_median,fold_min,positive_folds,window_median,window_min,last200,last150,last100,cost10
Challenger 530,530.8956845322679,549.7562732743999,1638.3746634754432,5.305508014342882,107585376.74999996,381.5965582276204,438.2410975097712,127.18706320128456,8,449.4888869325639,360.5270965021489,482.0513341836601,522.1960607172814,651.7422824926268,149.72801435196
Mature Beta Challenger,615.7059411330629,631.6771429575996,1608.5971446765466,6.208945863867816,108052688.83000003,366.0916401953295,579.9453496883395,93.72696016955733,8,512.7602229565576,367.41105401741714,575.717541205863,608.4126565822579,730.3223010658833,241.6683448317782
