strategy,score,mean,std,sharpe,early,fold_median,fold_min,positive_folds,window_median,window_min,last100,cost10,config
target_signed_v80_s0.25,405.5761420442857,427.9561821991996,1589.5110071037072,4.257020770700397,304.4725617879589,367.7659687705934,127.18706320128456,8,308.97604992587924,146.80201844065041,509.1274261005478,36.040749819873646,"Config(calibration='target_signed', validation_window=80, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v80_s0.5,276.32162963643816,306.9622430671998,1616.2042748890751,3.0030233765877266,286.2666533175456,268.0432752291126,-27.676646264000464,7,217.0139251190348,134.58289939459425,448.5953334420697,4.784777386499759,"Config(calibration='target_signed', validation_window=80, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v80_s0.75,157.8097017700209,197.12764285599988,1555.7724171915993,2.0034175124741544,262.85361403704957,255.87573423100852,-133.90102967200102,6,136.37200823252488,111.81089621444455,411.45174354885614,-143.34917144000016,"Config(calibration='target_signed', validation_window=80, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v80_s1.0,171.35729401441696,208.92039601599993,1546.6080695704761,2.135849133576573,226.16658251860926,236.73117379029867,-139.02375607200017,6,164.30633133246806,89.93187732793979,367.7049436456988,-147.90587984000007,"Config(calibration='target_signed', validation_window=80, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v120_s0.25,442.58920950980587,463.4562867343995,1591.1428915820857,4.605423779845276,256.6576639513556,370.5488555929171,127.18706320128456,8,350.45865760242134,119.86541760479581,475.0612444792958,73.40307298366665,"Config(calibration='target_signed', validation_window=120, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v120_s0.5,124.02803755389785,172.25599519839977,1698.376021954201,1.6036533677012201,235.55967540608808,121.27385698681351,-167.26384477200025,7,144.20845122083216,107.3957933821918,269.57012708122966,-100.05596801600024,"Config(calibration='target_signed', validation_window=120, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v120_s0.75,19.630571052617917,67.58289837680006,1670.1104590383993,0.6398256132993623,227.82866141605479,194.70800632529546,-385.15765443999976,7,68.33195742697643,18.871086928587296,180.2511383073417,-268.497456232,"Config(calibration='target_signed', validation_window=120, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v120_s1.0,11.629558457095527,54.5955452392,1659.2353590634461,0.5202585399098664,207.7120187573275,142.16569723732124,-341.4189261039997,7,55.20003809529446,25.62168604348784,107.97578413035367,-308.119707608,"Config(calibration='target_signed', validation_window=120, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v180_s0.25,446.08958406235115,466.4238849575995,1574.5424280485524,4.683779253247539,302.6105854254165,397.3287349342195,127.18706320128456,8,358.85268435835417,143.9042448039973,561.6312090971771,79.62136649481246,"Config(calibration='target_signed', validation_window=180, calibration_strength=0.25, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v180_s0.5,295.9257191160954,323.7726709559996,1570.390532548949,3.259886834249274,295.73018512095877,265.3301835119426,-44.789934396000326,7,204.17254568528978,143.27064854236306,550.3548257732996,10.754332352676101,"Config(calibration='target_signed', validation_window=180, calibration_strength=0.5, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v180_s0.75,276.22419660474065,301.9145145311999,1455.8206537244116,3.2790355121700583,160.57956544977117,194.50970080869627,115.85646597375163,8,149.0699397753259,55.79772056829771,472.3688823998138,-31.163654688000097,"Config(calibration='target_signed', validation_window=180, calibration_strength=0.75, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
target_signed_v180_s1.0,223.3541772736016,254.23862802800002,1494.8046566356534,2.6892247431657714,169.49357258333177,145.38261302248117,46.02259143186582,8,127.53586147994083,60.96362599980743,459.1320044111565,-101.88391971999998,"Config(calibration='target_signed', validation_window=180, calibration_strength=1.0, calibration_ridge=25.0, activation_history=180, reversal_weight=0.2, long_reversal_weight=0.075, hysteresis=0.3, hedge_fraction=1.0, hedge_beta_window=120)"
