strategy,official_score,official_mean,official_std,official_sharpe,early_score,fold_median,fold_min,positive_folds,window_median,window_min,frozen_score,cost_10x_score,volume,config
long60_0.050_beta120_s0.75,523.5813261495074,542.4339339735999,1627.4606521490703,5.26994833717444,367.87770321221853,448.0223946540602,103.54405534385232,8,435.9370629360762,343.91469788826475,294.30374541237796,141.3839381833672,107801351.69000003,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.75, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.05, 'freeze_at': 0}"
long60_0.050_beta120_s1.0,526.4744913161795,545.3089861039999,1630.8010394925152,5.287028837013636,364.36503166371085,448.65290349189587,107.86627440534532,8,436.22775174159557,345.9485371128599,297.7086038644794,144.39671815517303,107895700.05999993,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 1.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.05, 'freeze_at': 0}"
long60_0.075_beta120_s0.5,525.2952256111821,544.241303608,1634.2535469065244,5.26552969518791,387.2450337314522,437.9041081523552,121.30795720108055,8,447.99139209324505,355.39473506761954,276.8872436958599,143.82255967444166,107452997.58000007,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.5, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.075, 'freeze_at': 0}"
long60_0.075_beta120_s0.75,528.1649693830524,547.0394143967999,1635.0872103887891,5.289902912784882,384.51333238619435,437.98953026587776,123.17121507380885,8,448.89162262476776,358.1503693910061,279.9006601775211,146.9169682576852,107463612.72000001,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.75, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.075, 'freeze_at': 0}"
long60_0.075_beta120_s1.0,530.8956845322679,549.7562732743999,1638.3746634754432,5.305508014342882,381.5965582276204,438.2410975097712,127.18706320128456,8,449.4888869325639,360.5270965021489,282.8876234209798,149.72801435196,107585376.74999996,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 1.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.075, 'freeze_at': 0}"
long60_0.100_beta120_s0.5,521.4407270440959,540.5949338167999,1638.217598791914,5.217595280595601,369.96343195209136,444.06655858201555,88.2684431939143,8,439.8477073671045,343.17680884111314,284.17957963943593,139.4528046877255,107600253.33000001,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.5, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.1, 'freeze_at': 0}"
long60_0.100_beta120_s0.75,523.9049420547861,543.0125203247999,1639.6698977749525,5.236286781092463,367.29350291094624,443.4051662959761,89.94257379381521,8,440.68806103817667,345.7165493231811,287.78938677725444,142.11680184302267,107583921.98000003,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.75, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.1, 'freeze_at': 0}"
long60_0.100_beta120_s1.0,526.2063629321045,545.3260871615998,1643.573167681218,5.24610810412255,363.9361350368035,442.8988400651716,93.72696016955733,8,440.92637020823094,347.14544559555156,291.62983089999284,144.4717272667552,107679336.51999995,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 1.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.1, 'freeze_at': 0}"
long60_0.125_beta120_s0.5,516.3893843912715,535.7219035328,1638.9472624644527,5.168260890400055,362.4181675550539,439.62226346505406,86.97272917081557,8,438.2330234557801,345.12630878362324,297.6163243791746,133.50778146386946,107817113.32,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.5, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.125, 'freeze_at': 0}"
long60_0.125_beta120_s0.75,518.9887690449002,538.2503947088,1639.539373168101,5.19077866204417,360.27777083722066,438.23217634434036,89.53736598398424,8,439.80703651177487,348.6484832964212,300.82876106447026,136.34899529905843,107777973.62000003,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 0.75, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.125, 'freeze_at': 0}"
long60_0.125_beta120_s1.0,521.4556515198042,540.7044854263999,1642.5685372546932,5.20482913265377,357.24846856689186,437.0351184308398,93.89730021700981,8,440.6640102470378,350.94924168781586,304.2852632863937,138.8824584623313,107890339.64999996,"{'lag_weights': ((1, 1.0),), 'significance_se': 1.0, 'reversal_weight': 0.2, 'reversal_lookback': 20, 'reversal_mode': 'linear', 'hysteresis': 0.3, 'hedge_fraction': 1.0, 'hedge_beta_window': 120, 'hedge_beta_shrinkage': 1.0, 'cross_sectional_demean': False, 'soft_threshold': False, 'recent_window': 0, 'recent_weight': 0.0, 'consensus_window': 0, 'split_consensus': False, 'incoming_edges': 0, 'asymmetry_mode': 'none', 'svd_rank': 0, 'column_normalization': 'none', 'top_k': 50, 'long_reversal_lookback': 60, 'long_reversal_weight': 0.125, 'freeze_at': 0}"
